1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
UserData_20,Frame ID£º0x01,FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_STA_Shock,Frame ID£º0x02,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_SenserTMP,FC_STA_BAR,FC_STA_MAG,Frame ID£º0x03,FC_ATT_ROL,FC_ATT_PIT
0,0,33,23,2299,-13,11,-63,174,0,0,0,0,0,0,0,0,0,0,0
0,0,41,16,2294,-12,11,-66,168,0,0,0,0,0,0,0,0,0,0,0
0,0,43,18,2295,-13,11,-64,174,0,0,0,0,0,0,0,0,0,0,0
0,0,43,17,2312,-13,12,-64,192,0,0,0,0,0,0,0,0,0,0,0
0,0,38,20,2298,-12,11,-63,176,0,0,0,0,0,0,0,0,0,0,0
0,0,40,20,2302,-12,9,-63,180,0,0,0,0,0,0,0,0,0,0,0
0,0,37,22,2293,-13,12,-64,171,0,0,0,0,0,0,0,0,0,0,0
0,0,39,13,2287,-13,12,-65,157,0,0,0,0,0,0,0,0,0,0,0
0,0,43,15,2296,-12,11,-63,174,0,0,0,0,0,0,0,0,0,0,0
0,0,42,25,2298,-9,11,-63,188,0,0,0,0,0,0,0,0,0,0,0
0,0,44,24,2299,-11,9,-62,187,0,0,0,0,0,0,0,0,0,0,0
0,0,36,14,2300,-12,11,-63,170,0,0,0,0,0,0,0,0,0,0,0
0,0,48,21,2291,-13,11,-64,178,0,0,0,0,0,0,0,0,0,0,0
0,0,44,18,2298,-15,9,-63,175,0,0,0,0,0,0,0,0,0,0,0
0,0,50,22,2301,-13,12,-63,193,0,0,0,0,0,0,0,0,0,0,0
0,0,42,21,2295,-12,11,-63,178,0,0,0,0,0,0,0,0,0,0,0
0,0,47,17,2307,-9,12,-65,194,0,0,0,0,0,0,0,0,0,0,0
0,0,41,29,2299,-12,11,-64,188,0,0,0,0,0,0,0,0,0,0,0
0,0,43,17,2299,-12,11,-63,179,0,0,0,0,0,0,0,0,0,0,0
0,0,48,23,2286,-13,11,-64,175,0,0,0,0,0,0,0,0,0,0,0
0,0,42,17,2304,-13,11,-65,181,0,0,0,0,0,0,0,0,0,0,0
0,0,43,22,2294,-13,9,-64,175,0,0,0,0,0,0,0,0,0,0,0
0,0,41,24,2293,-13,11,-63,177,0,0,0,0,0,0,0,0,0,0,0
0,0,48,26,2297,-13,12,-66,188,0,0,0,0,0,0,0,0,0,0,0
0,0,43,22,2290,-15,12,-63,173,0,0,0,0,0,0,0,0,0,0,0
0,0,44,24,2289,-14,9,-64,172,0,0,0,0,0,0,0,0,0,0,0
0,0,41,26,2299,-15,9,-63,181,0,0,0,0,0,0,0,0,0,0,0
0,0,33,21,2298,-13,9,-62,170,0,0,0,0,0,0,0,0,0,0,0
0,0,49,20,2288,-12,12,-63,178,0,0,0,0,0,0,0,0,0,0,0
0,0,43,15,2282,-13,13,-65,159,0,0,0,0,0,0,0,0,0,0,0
0,0,42,21,2295,-13,13,-64,178,0,0,0,0,0,0,0,0,0,0,0
0,0,52,16,2297,-12,12,-63,186,0,0,0,0,0,0,0,0,0,0,0
0,0,41,12,2301,-14,13,-64,173,0,0,0,0,0,0,0,0,0,0,0
0,0,34,13,2301,-12,13,-64,169,0,0,0,0,0,0,0,0,0,0,0
0,0,39,15,2299,-12,11,-65,171,0,0,0,0,0,0,0,0,0,0,0
0,0,51,24,2288,-12,12,-63,184,0,0,0,0,0,0,0,0,0,0,0
0,0,47,23,2291,-13,8,-63,177,0,0,0,0,0,0,0,0,0,0,0
0,0,47,20,2304,-13,11,-63,191,0,0,0,0,0,0,0,0,0,0,0
0,0,45,22,2281,-12,14,-65,169,0,0,0,0,0,0,0,0,0,0,0
0,0,42,35,2301,-12,13,-63,200,0,0,0,0,0,0,0,0,0,0,0
0,0,44,20,2301,-13,12,-62,186,0,0,0,0,0,0,0,0,0,0,0
0,0,45,23,2300,-14,11,-64,185,0,0,0,0,0,0,0,0,0,0,0
0,0,44,21,2306,-13,12,-64,191,0,0,0,0,0,0,0,0,0,0,0
0,0,39,16,2297,-13,13,-65,171,0,0,0,0,0,0,0,0,0,0,0
0,0,43,19,2299,-12,9,-64,178,0,0,0,0,0,0,0,0,0,0,0
0,0,46,18,2306,-12,11,-63,191,0,0,0,0,0,0,0,0,0,0,0
0,0,38,25,2293,-11,9,-64,174,0,0,0,0,0,0,0,0,0,0,0
0,0,45,25,2298,-14,13,-64,187,0,0,0,0,0,0,0,0,0,0,0
0,0,42,18,2295,-12,12,-64,175,0,0,0,0,0,0,0,0,0,0,0
0,0,49,18,2300,-14,14,-64,187,0,0,0,0,0,0,0,0,0,0,0
0,0,39,24,2289,-14,12,-64,170,0,0,0,0,0,0,0,0,0,0,0
0,0,41,20,2297,-12,13,-64,179,0,0,0,0,0,0,0,0,0,0,0
0,0,46,24,2294,-13,13,-64,184,0,0,0,0,0,0,0,0,0,0,0
0,0,43,25,2302,-12,11,-66,187,0,0,0,0,0,0,0,0,0,0,0
0,0,48,16,2309,-15,12,-63,192,0,0,0,0,0,0,0,0,0,0,0
0,0,46,20,2305,-11,14,-63,196,0,0,0,0,0,0,0,0,0,0,0
0,0,40,22,2299,-12,9,-63,179,0,0,0,0,0,0,0,0,0,0,0
0,0,42,25,2290,-14,13,-64,176,0,0,0,0,0,0,0,0,0,0,0
0,0,35,25,2302,-13,11,-64,180,0,0,0,0,0,0,0,0,0,0,0
0,0,38,27,2296,-14,11,-63,179,0,0,0,0,0,0,0,0,0,0,0
0,0,50,21,2310,-13,11,-64,200,0,0,0,0,0,0,0,0,0,0,0
0,0,45,20,2300,-13,13,-63,186,0,0,0,0,0,0,0,0,0,0,0
0,0,43,19,2295,-13,11,-63,176,0,0,0,0,0,0,0,0,0,0,0
0,0,43,20,2292,-12,11,-63,175,0,0,0,0,0,0,0,0,0,0,0
0,0,45,4,2289,-12,12,-65,157,0,0,0,0,0,0,0,0,0,0,0
0,0,41,25,2296,-14,12,-63,181,0,0,0,0,0,0,0,0,0,0,0
0,0,45,22,2302,-14,13,-65,187,0,0,0,0,0,0,0,0,0,0,0
0,0,52,21,2300,-12,12,-64,193,0,0,0,0,0,0,0,0,0,0,0
0,0,44,24,2290,-13,12,-64,177,0,0,0,0,0,0,0,0,0,0,0
0,0,37,20,2297,-13,13,-65,173,0,0,0,0,0,0,0,0,0,0,0
0,0,45,11,2297,-12,12,-64,173,0,0,0,0,0,0,0,0,0,0,0
0,0,40,24,2296,-11,9,-65,177,0,0,0,0,0,0,0,0,0,0,0
0,0,51,19,2306,-13,12,-64,196,0,0,0,0,0,0,0,0,0,0,0
0,0,46,27,2289,-13,9,-63,179,0,0,0,0,0,0,0,0,0,0,0
0,0,50,21,2293,-12,13,-65,184,0,0,0,0,0,0,0,0,0,0,0
0,0,38,22,2294,-13,12,-63,174,0,0,0,0,0,0,0,0,0,0,0
0,0,44,20,2300,-15,11,-64,180,0,0,0,0,0,0,0,0,0,0,0
0,0,40,18,2295,-14,11,-64,170,0,0,0,0,0,0,0,0,0,0,0
0,0,46,19,2289,-14,14,-63,175,0,0,0,0,0,0,0,0,0,0,0
0,0,45,22,2296,-13,13,-63,184,0,0,0,0,0,0,0,0,0,0,0
0,0,36,20,2293,-14,13,-64,168,0,0,0,0,0,0,0,0,0,0,0
0,0,46,20,2304,-13,14,-65,191,0,0,0,0,0,0,0,0,0,0,0
0,0,43,17,2309,-12,14,-64,192,0,0,0,0,0,0,0,0,0,0,0
0,0,49,16,2298,-12,11,-63,183,0,0,0,0,0,0,0,0,0,0,0
0,0,42,20,2302,-12,12,-66,182,0,0,0,0,0,0,0,0,0,0,0
0,0,41,12,2301,-14,14,-64,174,0,0,0,0,0,0,0,0,0,0,0
0,0,40,22,2289,-13,9,-64,167,0,0,0,0,0,0,0,0,0,0,0
0,0,49,15,2291,-13,11,-62,175,0,0,0,0,0,0,0,0,0,0,0
0,0,44,21,2296,-12,11,-65,179,0,0,0,0,0,0,0,0,0,0,0
0,0,42,15,2297,-13,12,-63,174,0,0,0,0,0,0,0,0,0,0,0
0,0,45,27,2281,-14,12,-62,173,0,0,0,0,0,0,0,0,0,0,0
0,0,40,17,2289,-13,12,-65,164,0,0,0,0,0,0,0,0,0,0,0
0,0,37,20,2290,-14,12,-63,166,0,0,0,0,0,0,0,0,0,0,0
0,0,37,25,2295,-12,12,-63,178,0,0,0,0,0,0,0,0,0,0,0
0,0,36,20,2304,-11,9,-64,179,0,0,0,0,0,0,0,0,0,0,0
0,0,34,18,2298,-12,11,-63,170,0,0,0,0,0,0,0,0,0,0,0
0,0,46,22,2306,-13,12,-64,194,0,0,0,0,0,0,0,0,0,0,0
0,0,45,23,2310,-14,12,-62,199,0,0,0,0,0,0,0,0,0,0,0
0,0,47,17,2308,-14,11,-64,190,0,0,0,0,0,0,0,0,0,0,0
0,0,42,24,2302,-13,13,-64,188,0,0,0,0,0,0,0,0,0,0,0
0,0,41,18,2291,-12,11,-65,168,0,0,0,0,0,0,0,0,0,0,0
0,0,38,28,2297,-12,12,-64,183,0,0,0,0,0,0,0,0,0,0,0
0,0,41,22,2298,-12,11,-63,181,0,0,0,0,0,0,0,0,0,0,0
0,0,41,20,2294,-13,12,-64,174,0,0,0,0,0,0,0,0,0,0,0
0,0,47,22,2283,-11,12,-64,173,0,0,0,0,0,0,0,0,0,0,0
0,0,45,17,2288,-14,11,-65,166,0,0,0,0,0,0,0,0,0,0,0
0,0,40,18,2290,-12,12,-65,167,0,0,0,0,0,0,0,0,0,0,0
0,0,48,18,2292,-11,14,-65,180,0,0,0,0,0,0,0,0,0,0,0
0,0,49,25,2300,-13,12,-65,192,0,0,0,0,0,0,0,0,0,0,0
0,0,45,21,2298,-14,11,-65,180,0,0,0,0,0,0,0,0,0,0,0
0,0,42,27,2299,-14,11,-62,187,0,0,0,0,0,0,0,0,0,0,0
0,0,44,28,2308,-13,12,-65,199,0,0,0,0,0,0,0,0,0,0,0
0,0,40,23,2296,-14,11,-64,176,0,0,0,0,0,0,0,0,0,0,0
0,0,39,18,2291,-13,13,-65,167,0,0,0,0,0,0,0,0,0,0,0
0,0,50,20,2288,-11,14,-65,180,0,0,0,0,0,0,0,0,0,0,0
0,0,44,24,2295,-14,13,-64,182,0,0,0,0,0,0,0,0,0,0,0
0,0,43,19,2298,-12,14,-64,182,0,0,0,0,0,0,0,0,0,0,0
0,0,40,17,2290,-12,12,-65,166,0,0,0,0,0,0,0,0,0,0,0
0,0,45,15,2292,-13,13,-64,172,0,0,0,0,0,0,0,0,0,0,0
0,0,41,21,2292,-12,12,-62,176,0,0,0,0,0,0,0,0,0,0,0
0,0,43,22,2307,-12,12,-65,192,0,0,0,0,0,0,0,0,0,0,0
0,0,42,26,2306,-12,11,-63,195,0,0,0,0,0,0,0,0,0,0,0
0,0,44,24,2299,-12,11,-63,187,0,0,0,0,0,0,0,0,0,0,0
0,0,44,21,2293,-13,12,-63,178,0,0,0,0,0,0,0,0,0,0,0
0,0,35,22,2292,-13,12,-62,170,0,0,0,0,0,0,0,0,0,0,0
0,0,42,21,2300,-13,12,-63,183,0,0,0,0,0,0,0,0,0,0,0
0,0,41,15,2292,-12,12,-63,169,0,0,0,0,0,0,0,0,0,0,0
0,0,40,11,2303,-14,11,-64,171,0,0,0,0,0,0,0,0,0,0,0
0,0,37,20,2292,-12,12,-65,168,0,0,0,0,0,0,0,0,0,0,0
0,0,43,21,2295,-13,12,-63,179,0,0,0,0,0,0,0,0,0,0,0
0,0,46,23,2293,-14,13,-64,181,0,0,0,0,0,0,0,0,0,0,0
0,0,42,16,2293,-13,12,-65,169,0,0,0,0,0,0,0,0,0,0,0
0,0,38,18,2301,-13,11,-63,176,0,0,0,0,0,0,0,0,0,0,0
0,0,40,18,2297,-13,12,-64,174,0,0,0,0,0,0,0,0,0,0,0
0,0,44,14,2301,-12,11,-66,176,0,0,0,0,0,0,0,0,0,0,0
0,0,52,17,2291,-12,11,-66,177,0,0,0,0,0,0,0,0,0,0,0
0,0,40,18,2300,-12,12,-65,177,0,0,0,0,0,0,0,0,0,0,0
0,0,42,22,2295,-12,13,-65,179,0,0,0,0,0,0,0,0,0,0,0
0,0,46,24,2293,-12,14,-62,187,0,0,0,0,0,0,0,0,0,0,0
0,0,51,20,2296,-15,12,-63,185,0,0,0,0,0,0,0,0,0,0,0
0,0,51,25,2298,-12,12,-64,194,0,0,0,0,0,0,0,0,0,0,0
0,0,37,13,2305,-12,11,-63,176,0,0,0,0,0,0,0,0,0,0,0
0,0,46,19,2301,-12,12,-65,185,0,0,0,0,0,0,0,0,0,0,0
0,0,45,25,2290,-12,14,-65,181,0,0,0,0,0,0,0,0,0,0,0
0,0,42,12,2295,-12,13,-64,170,0,0,0,0,0,0,0,0,0,0,0
0,0,48,19,2296,-12,11,-63,183,0,0,0,0,0,0,0,0,0,0,0
0,0,46,24,2296,-14,15,-63,188,0,0,0,0,0,0,0,0,0,0,0
0,0,40,14,2293,-12,13,-63,169,0,0,0,0,0,0,0,0,0,0,0
0,0,40,23,2297,-13,12,-64,179,0,0,0,0,0,0,0,0,0,0,0
0,0,43,18,2279,-13,12,-63,160,0,0,0,0,0,0,0,0,0,0,0
0,0,35,25,2287,-13,12,-63,167,0,0,0,0,0,0,0,0,0,0,0
0,0,41,28,2293,-12,11,-66,179,0,0,0,0,0,0,0,0,0,0,0
0,0,41,25,2300,-13,12,-64,185,0,0,0,0,0,0,0,0,0,0,0
0,0,46,21,2303,-12,12,-65,189,0,0,0,0,0,0,0,0,0,0,0
0,0,38,22,2299,-13,13,-63,180,0,0,0,0,0,0,0,0,0,0,0
0,0,45,13,2287,-13,13,-65,164,0,0,0,0,0,0,0,0,0,0,0
0,0,40,17,2294,-13,13,-64,171,0,0,0,0,0,0,0,0,0,0,0
0,0,36,17,2297,-13,12,-65,168,0,0,0,0,0,0,0,0,0,0,0
0,0,51,24,2293,-14,12,-64,186,0,0,0,0,0,0,0,0,0,0,0
0,0,48,25,2304,-13,13,-64,198,0,0,0,0,0,0,0,0,0,0,0
0,0,42,23,2294,-13,12,-62,180,0,0,0,0,0,0,0,0,0,0,0
0,0,37,21,2302,-11,12,-63,182,0,0,0,0,0,0,0,0,0,0,0
0,0,40,22,2291,-14,14,-64,173,0,0,0,0,0,0,0,0,0,0,0
0,0,40,11,2306,-13,13,-64,178,0,0,0,0,0,0,0,0,0,0,0
0,0,38,22,2290,-14,12,-65,167,0,0,0,0,0,0,0,0,0,0,0
0,0,38,21,2305,-14,12,-63,184,0,0,0,0,0,0,0,0,0,0,0
0,0,39,20,2300,-14,11,-63,177,0,0,0,0,0,0,0,0,0,0,0
0,0,49,14,2293,-14,11,-65,172,0,0,0,0,0,0,0,0,0,0,0
0,0,40,20,2292,-14,11,-64,169,0,0,0,0,0,0,0,0,0,0,0
0,0,43,22,2298,-14,13,-62,184,0,0,0,0,0,0,0,0,0,0,0
0,0,43,27,2311,-13,12,-63,202,0,0,0,0,0,0,0,0,0,0,0
0,0,44,25,2284,-12,9,-64,170,0,0,0,0,0,0,0,0,0,0,0
0,0,35,27,2297,-12,11,-64,178,0,0,0,0,0,0,0,0,0,0,0
0,0,44,26,2287,-12,12,-64,177,0,0,0,0,0,0,0,0,0,0,0
0,0,36,20,2288,-13,12,-64,163,0,0,0,0,0,0,0,0,0,0,0
0,0,39,16,2283,-13,12,-64,157,0,0,0,0,0,0,0,0,0,0,0
0,0,42,18,2291,-13,12,-64,170,0,0,0,0,0,0,0,0,0,0,0
0,0,45,14,2286,-12,9,-65,161,0,0,0,0,0,0,0,0,0,0,0
0,0,45,28,2294,-13,13,-62,189,0,0,0,0,0,0,0,0,0,0,0
0,0,39,21,2297,-13,11,-63,176,0,0,0,0,0,0,0,0,0,0,0
0,0,35,14,2300,-13,11,-65,166,0,0,0,0,0,0,0,0,0,0,0
0,0,47,27,2289,-15,12,-63,181,0,0,0,0,0,0,0,0,0,0,0
0,0,46,22,2287,-14,11,-64,172,0,0,0,0,0,0,0,0,0,0,0
0,0,38,14,2306,-14,12,-64,177,0,0,0,0,0,0,0,0,0,0,0
0,0,41,20,2293,-13,12,-65,172,0,0,0,0,0,0,0,0,0,0,0
0,0,39,13,2315,-12,11,-64,187,0,0,0,0,0,0,0,0,0,0,0
0,0,40,21,2292,-13,11,-64,171,0,0,0,0,0,0,0,0,0,0,0
0,0,41,20,2284,-12,12,-63,166,0,0,0,0,0,0,0,0,0,0,0
0,0,44,18,2295,-12,13,-65,177,0,0,0,0,0,0,0,0,0,0,0
0,0,44,18,2303,-13,13,-64,185,0,0,0,0,0,0,0,0,0,0,0
0,0,41,12,2295,-14,14,-65,167,0,0,0,0,0,0,0,0,0,0,0
0,0,43,18,2301,-13,9,-63,179,0,0,0,0,0,0,0,0,0,0,0
0,0,45,17,2295,-14,12,-64,175,0,0,0,0,0,0,0,0,0,0,0
0,0,41,23,2298,-13,12,-64,181,0,0,0,0,0,0,0,0,0,0,0
0,0,47,18,2298,-13,12,-63,183,0,0,0,0,0,0,0,0,0,0,0
0,0,47,17,2294,-12,13,-66,177,0,0,0,0,0,0,0,0,0,0,0
0,0,44,14,2304,-11,12,-64,184,0,0,0,0,0,0,0,0,0,0,0
