1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
UserData_20,Frame ID£º0x01,FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_STA_Shock,Frame ID£º0x02,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_SenserTMP,FC_STA_BAR,FC_STA_MAG,Frame ID£º0x03,FC_ATT_ROL,FC_ATT_PIT,
0,0,19,-103,2011,-12,-19,5,39,0,0,0,0,0,0,0,0,0,0,0,
0,0,22,-108,2015,-5,-19,10,53,0,0,0,0,0,0,0,0,0,0,0,
0,0,13,-103,2019,-6,-17,5,49,0,0,0,0,0,0,0,0,0,0,0,
0,0,16,-111,2013,-8,-18,5,35,0,0,0,0,0,0,0,0,0,0,0,
0,0,19,-112,2016,-5,-18,8,46,0,0,0,0,0,0,0,0,0,0,0,
0,0,18,-102,2024,-7,-17,10,64,0,0,0,0,0,0,0,0,0,0,0,
0,0,14,-109,2008,-7,-19,4,29,0,0,0,0,0,0,0,0,0,0,0,
0,0,17,-107,2016,-6,-16,10,52,0,0,0,0,0,0,0,0,0,0,0,
0,0,11,-107,2019,-12,-18,1,32,0,0,0,0,0,0,0,0,0,0,0,
0,0,16,-108,2015,-7,-18,7,43,0,0,0,0,0,0,0,0,0,0,0,
0,0,15,-98,2018,-8,-18,7,54,0,0,0,0,0,0,0,0,0,0,0,
0,0,20,-102,2017,-4,-16,5,58,0,0,0,0,0,0,0,0,0,0,0,
0,0,18,-109,2015,-8,-19,4,39,0,0,0,0,0,0,0,0,0,0,0,
0,0,17,-113,2016,-10,-19,7,36,0,0,0,0,0,0,0,0,0,0,0,
0,0,14,-109,2015,-8,-21,7,36,0,0,0,0,0,0,0,0,0,0,0,
0,0,13,-103,2016,-5,-18,4,45,0,0,0,0,0,0,0,0,0,0,0,
0,0,17,-109,2011,-5,-17,7,42,0,0,0,0,0,0,0,0,0,0,0,
0,0,11,-107,2017,-8,-18,9,42,0,0,0,0,0,0,0,0,0,0,0,
0,0,14,-99,2015,-7,-16,6,51,0,0,0,0,0,0,0,0,0,0,0,
0,0,16,-100,2023,-9,-17,5,56,0,0,0,0,0,0,0,0,0,0,0,
0,0,20,-96,2007,-9,-19,6,47,0,0,0,0,0,0,0,0,0,0,0,
0,0,11,-111,2018,-6,-17,7,40,0,0,0,0,0,0,0,0,0,0,0,
0,0,20,-106,2015,-9,-21,3,40,0,0,0,0,0,0,0,0,0,0,0,
0,0,12,-100,2007,-8,-15,2,36,0,0,0,0,0,0,0,0,0,0,0,
0,0,13,-106,2008,-12,-17,4,28,0,0,0,0,0,0,0,0,0,0,0,
0,0,15,-108,2007,-7,-19,10,36,0,0,0,0,0,0,0,0,0,0,0,
0,0,15,-103,2017,-9,-17,9,50,0,0,0,0,0,0,0,0,0,0,0,
0,0,19,-105,2019,-8,-18,2,47,0,0,0,0,0,0,0,0,0,0,0,
0,0,18,-108,2019,-8,-19,7,47,0,0,0,0,0,0,0,0,0,0,0,
0,0,11,-103,2016,-9,-20,7,40,0,0,0,0,0,0,0,0,0,0,0,
0,0,19,-105,2014,-7,-16,7,50,0,0,0,0,0,0,0,0,0,0,0,
0,0,19,-105,2015,-7,-17,8,51,0,0,0,0,0,0,0,0,0,0,0,
0,0,17,-100,2019,-4,-17,8,61,0,0,0,0,0,0,0,0,0,0,0,
0,0,18,-105,2019,-6,-20,10,54,0,0,0,0,0,0,0,0,0,0,0,
0,0,22,-109,2021,-6,-19,6,53,0,0,0,0,0,0,0,0,0,0,0,
0,0,13,-105,2021,-7,-17,7,50,0,0,0,0,0,0,0,0,0,0,0,
0,0,21,-103,2020,-8,-16,7,59,0,0,0,0,0,0,0,0,0,0,0,
0,0,15,-104,2019,-11,-19,7,45,0,0,0,0,0,0,0,0,0,0,0,
0,0,22,-105,2013,-8,-18,6,48,0,0,0,0,0,0,0,0,0,0,0,
0,0,21,-107,2012,-4,-17,7,50,0,0,0,0,0,0,0,0,0,0,0,
0,0,17,-104,2019,-7,-20,4,47,0,0,0,0,0,0,0,0,0,0,0,
0,0,17,-110,2018,-3,-17,9,52,0,0,0,0,0,0,0,0,0,0,0,
0,0,15,-107,2017,-5,-18,8,48,0,0,0,0,0,0,0,0,0,0,0,
0,0,17,-106,2019,-8,-22,6,44,0,0,0,0,0,0,0,0,0,0,0,
0,0,23,-111,2016,-9,-16,4,45,0,0,0,0,0,0,0,0,0,0,0,
0,0,21,-108,2018,-5,-18,3,49,0,0,0,0,0,0,0,0,0,0,0,
0,0,16,-98,2017,-10,-16,3,50,0,0,0,0,0,0,0,0,0,0,0,
0,0,14,-100,2017,-7,-17,7,52,0,0,0,0,0,0,0,0,0,0,0,
0,0,18,-107,2011,-1,-18,7,48,0,0,0,0,0,0,0,0,0,0,0,
0,0,16,-102,2017,-10,-17,6,48,0,0,0,0,0,0,0,0,0,0,0,
0,0,13,-105,2014,-7,-17,2,38,0,0,0,0,0,0,0,0,0,0,0,
0,0,21,-109,2015,-9,-21,6,41,0,0,0,0,0,0,0,0,0,0,0,
0,0,18,-103,2014,-6,-19,8,50,0,0,0,0,0,0,0,0,0,0,0,
0,0,9,-96,2018,-8,-20,7,48,0,0,0,0,0,0,0,0,0,0,0,
0,0,13,-108,2011,-4,-19,8,39,0,0,0,0,0,0,0,0,0,0,0,
