1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
UserData_20,Frame ID£º0x01,FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_STA_Shock,Frame ID£º0x02,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_SenserTMP,FC_STA_BAR,FC_STA_MAG,Frame ID£º0x03,FC_ATT_ROL,FC_ATT_PIT,
0,0,-147,2004,246,-17,29,-13,240,0,0,0,0,0,0,0,0,0,0,0,
0,0,-134,2001,248,-18,30,-13,252,0,0,0,0,0,0,0,0,0,0,0,
0,0,-138,1998,244,-18,27,-14,237,0,0,0,0,0,0,0,0,0,0,0,
0,0,-141,2004,241,-19,28,-13,238,0,0,0,0,0,0,0,0,0,0,0,
0,0,-142,2004,246,-18,26,-14,240,0,0,0,0,0,0,0,0,0,0,0,
0,0,-139,2005,247,-17,27,-13,248,0,0,0,0,0,0,0,0,0,0,0,
0,0,-147,2001,254,-16,29,-12,247,0,0,0,0,0,0,0,0,0,0,0,
0,0,-142,2000,240,-18,29,-12,235,0,0,0,0,0,0,0,0,0,0,0,
0,0,-142,2002,243,-17,29,-14,239,0,0,0,0,0,0,0,0,0,0,0,
0,0,-143,2001,243,-17,28,-15,235,0,0,0,0,0,0,0,0,0,0,0,
0,0,-143,1998,240,-17,27,-15,228,0,0,0,0,0,0,0,0,0,0,0,
0,0,-138,2005,246,-19,28,-13,247,0,0,0,0,0,0,0,0,0,0,0,
0,0,-148,2002,237,-17,28,-13,227,0,0,0,0,0,0,0,0,0,0,0,
0,0,-149,2000,230,-18,28,-13,216,0,0,0,0,0,0,0,0,0,0,0,
0,0,-139,2003,241,-19,29,-13,240,0,0,0,0,0,0,0,0,0,0,0,
0,0,-140,2005,242,-19,28,-13,241,0,0,0,0,0,0,0,0,0,0,0,
0,0,-145,2002,246,-17,29,-12,241,0,0,0,0,0,0,0,0,0,0,0,
0,0,-143,2000,254,-17,28,-12,248,0,0,0,0,0,0,0,0,0,0,0,
0,0,-145,2012,244,-19,29,-13,246,0,0,0,0,0,0,0,0,0,0,0,
0,0,-138,2004,246,-19,27,-13,245,0,0,0,0,0,0,0,0,0,0,0,
0,0,-143,2004,250,-18,30,-15,246,0,0,0,0,0,0,0,0,0,0,0,
0,0,-142,2001,251,-18,30,-16,244,0,0,0,0,0,0,0,0,0,0,0,
0,0,-138,1999,246,-19,30,-12,244,0,0,0,0,0,0,0,0,0,0,0,
0,0,-151,2000,235,-19,29,-16,216,0,0,0,0,0,0,0,0,0,0,0,
0,0,-142,2002,246,-18,31,-13,244,0,0,0,0,0,0,0,0,0,0,0,
0,0,-137,1999,240,-18,30,-13,239,0,0,0,0,0,0,0,0,0,0,0,
0,0,-146,2007,235,-17,28,-14,231,0,0,0,0,0,0,0,0,0,0,0,
0,0,-145,2003,241,-18,28,-14,233,0,0,0,0,0,0,0,0,0,0,0,
0,0,-141,2001,240,-16,29,-14,237,0,0,0,0,0,0,0,0,0,0,0,
0,0,-134,2003,241,-17,29,-15,245,0,0,0,0,0,0,0,0,0,0,0,
0,0,-145,2001,248,-18,30,-13,241,0,0,0,0,0,0,0,0,0,0,0,
